close,close_time,datetime,high,low,open,quote_volume,symbol,taker_buy_quote_volume,taker_buy_volume,timestamp,trades,volume
194.34,1587970799999,2020-04-27T11:30:00,196.26,194.0,195.78,13106035.4120264,ETHUSDT,4650847.1531097,23837.60515,1587967200000,15487,67199.90442
196.13,1587974399999,2020-04-27T12:30:00,196.3,193.6,194.4,8626614.2338566,ETHUSDT,4427368.5671215,22707.86379,1587970800000,11291,44249.68674
195.75,1587977999999,2020-04-27T13:30:00,197.1,195.3,196.13,7091208.7387439,ETHUSDT,3697635.4216812,18834.58338,1587974400000,9267,36127.23206
195.77,1587981599999,2020-04-27T14:30:00,196.47,194.8,195.76,5529278.4094742,ETHUSDT,2547069.6102687,13023.36894,1587978000000,7900,28270.5611
194.91,1587985199999,2020-04-27T15:30:00,196.05,194.4,195.77,5138222.9959897,ETHUSDT,2339362.6466182,11971.19799,1587981600000,7172,26307.77802
195.9,1587988799999,2020-04-27T16:30:00,196.2,194.61,194.89,5538137.1198711,ETHUSDT,2785018.3225248,14238.55775,1587985200000,6797,28317.74926
195.07,1587992399999,2020-04-27T17:30:00,196.19,194.03,195.91,7458519.8690788,ETHUSDT,3187569.676757,16357.06554,1587988800000,9335,38278.50477
194.31,1587995999999,2020-04-27T18:30:00,195.5,191.97,195.08,14628603.4092196,ETHUSDT,6115245.4801453,31575.36813,1587992400000,18794,75548.59084
191.87,1587999599999,2020-04-27T19:30:00,194.31,189.29,194.31,15767896.7551898,ETHUSDT,6787264.7657151,35370.38121,1587996000000,21426,82212.48501
192.73,1588003199999,2020-04-27T20:30:00,193.65,191.16,191.9,8981679.3292492,ETHUSDT,4342231.8636637,22536.8271,1587999600000,11466,46623.45342
192.47,1588006799999,2020-04-27T21:30:00,193.32,192.0,192.71,6154361.6945187,ETHUSDT,3053805.457894,15852.28393,1588003200000,8501,31942.06976
191.94,1588010399999,2020-04-27T22:30:00,192.51,191.17,192.48,5375407.8323706,ETHUSDT,2440996.7973527,12718.67999,1588006800000,7520,28009.49155
193.66,1588013999999,2020-04-27T23:30:00,193.79,191.88,191.94,4231634.3491792,ETHUSDT,2357635.6357478,12215.46785,1588010400000,6741,21931.06887
193.94,1588017599999,2020-04-28T00:30:00,194.15,193.37,193.67,3794173.7994318,ETHUSDT,2055373.6708374,10607.64353,1588014000000,6102,19582.59967
193.29,1588021199999,2020-04-28T01:30:00,194.5,193.21,193.86,2585990.2431727,ETHUSDT,1364617.2108179,7039.75579,1588017600000,4791,13341.26854
194.68,1588024799999,2020-04-28T02:30:00,195.7,193.17,193.3,5024820.2321563,ETHUSDT,3087839.9526782,15860.87252,1588021200000,7747,25815.3326
196.64,1588028399999,2020-04-28T03:30:00,196.84,194.2,194.69,7021192.9447953,ETHUSDT,4059726.4639598,20734.72019,1588024800000,9521,35875.87081
196.34,1588031999999,2020-04-28T04:30:00,197.0,195.41,196.64,6264058.636283,ETHUSDT,3493798.4185441,17792.96985,1588028400000,8042,31909.62254
194.95,1588035599999,2020-04-28T05:30:00,196.49,194.3,196.33,8048331.223991,ETHUSDT,3701446.542588,18949.24768,1588032000000,10606,41215.0701
193.33,1588039199999,2020-04-28T06:30:00,195.18,193.3,194.96,5445338.49688,ETHUSDT,2554054.0251798,13161.60313,1588035600000,7679,28067.11187
194.0,1588042799999,2020-04-28T07:30:00,194.28,192.5,193.33,6064423.880101,ETHUSDT,2873035.3404617,14855.51091,1588039200000,9141,31364.32621
194.57,1588046399999,2020-04-28T08:30:00,194.68,193.15,194.01,3555670.3209751,ETHUSDT,1826993.3938209,9416.29702,1588042800000,6245,18325.56251
194.15,1588049999999,2020-04-28T09:30:00,194.78,192.36,194.57,7082023.9266687,ETHUSDT,3452759.7132796,17837.21348,1588046400000,10756,36593.50549
194.67,1588053599999,2020-04-28T10:30:00,195.11,193.33,194.12,4747632.7464057,ETHUSDT,2203536.7877537,11344.93999,1588050000000,6171,24451.28656
195.48,1588057199999,2020-04-28T11:30:00,195.75,193.93,194.68,6441538.523189,ETHUSDT,3591436.1536604,18398.93306,1588053600000,8183,32997.33971
195.33,1588060799999,2020-04-28T12:30:00,195.64,194.68,195.53,4050101.3375291,ETHUSDT,1798523.254365,9215.30193,1588057200000,6605,20747.71327
193.93,1588064399999,2020-04-28T13:30:00,195.49,193.91,195.31,3246224.9458648,ETHUSDT,1429066.9657466,7350.04417,1588060800000,5709,16694.36607
195.76,1588067999999,2020-04-28T14:30:00,196.01,193.88,193.94,5941038.4660701,ETHUSDT,3326355.3972832,17028.10439,1588064400000,8988,30417.03654
196.49,1588071599999,2020-04-28T15:30:00,196.99,195.05,195.78,7082691.0421147,ETHUSDT,3859123.4695677,19679.02168,1588068000000,10768,36122.29811
195.94,1588075199999,2020-04-28T16:30:00,196.96,195.92,196.5,5180016.3505706,ETHUSDT,2930844.6832502,14917.71164,1588071600000,9120,26364.64319
197.08,1588078799999,2020-04-28T17:30:00,197.35,195.29,195.94,7651407.7255746,ETHUSDT,4234425.8426409,21531.22414,1588075200000,11132,38915.10105
195.87,1588082399999,2020-04-28T18:30:00,198.5,195.8,197.05,9395601.1569815,ETHUSDT,5453118.4494632,27669.86573,1588078800000,12490,47696.35396
194.31,1588085999999,2020-04-28T19:30:00,196.51,194.23,195.88,9504589.827057,ETHUSDT,4219158.35741,21567.25406,1588082400000,11372,48611.0066
195.54,1588089599999,2020-04-28T20:30:00,195.75,194.05,194.31,5678106.2057204,ETHUSDT,2802882.7806692,14371.94458,1588086000000,7454,29115.64011
195.85,1588093199999,2020-04-28T21:30:00,196.65,195.36,195.55,4227630.3329416,ETHUSDT,2156252.0189772,10993.1695,1588089600000,6511,21556.35731
195.79,1588096799999,2020-04-28T22:30:00,196.23,195.01,195.84,2407463.0673698,ETHUSDT,1392165.6385627,7112.71879,1588093200000,4430,12304.22006
